repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown
6,a2c_ppo,1,0.01,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.02,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.03,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.04,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.05,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.06,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.07,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.08,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.09,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.1,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.11,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.12,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.13,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.14,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.15,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.16,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.17,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.18,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.19,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.2,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.21,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.22,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.23,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.24,24,0.15027824862000116,0.18779935824948146,1.2284286832363993,2.604352663061788,-0.07210980329702987
6,a2c_ppo,1,0.25,1,0.12816341839000134,0.15978972093724741,0.899238309888642,1.574331147159905,-0.10149689360177383
6,a2c_ppo,1,0.26,1,0.26144403777000136,0.330435485445038,1.3507499644099683,3.155197271400726,-0.10472736156314677
6,a2c_ppo,1,0.27,1,0.3562287750100004,0.4543626243293821,1.6758270855616384,4.204738773878967,-0.10805965572748821
6,a2c_ppo,1,0.28,1,0.31084352742000143,0.3947665956730473,1.5302139400478367,3.645611094029409,-0.10828543843296268
6,a2c_ppo,1,0.29,1,0.261216040430001,0.33013989302534985,1.3435109644395318,3.016126006842815,-0.10945825614591276
6,a2c_ppo,1,0.3,1,0.22078615260000145,0.2779189384374019,1.1311244578915998,2.5529929755052767,-0.10886004822727624
6,a2c_ppo,1,0.31,1,0.19581988203000122,0.2458681065292423,1.0030341536187521,1.9476978840103896,-0.12623523830245675
6,a2c_ppo,1,0.32,1,0.18045029441000104,0.22621312142972894,0.9165114458846322,1.5259075637887343,-0.14824824700918038
6,a2c_ppo,1,0.33,1,0.16653063204000107,0.20846287477712733,0.8484397991296467,1.2906729230042229,-0.16151487418818755
6,a2c_ppo,1,0.34,1,0.1587784569500006,0.19859835655453661,0.8100454434409016,1.1709826164713735,-0.16959974790487564
6,a2c_ppo,1,0.35,1,0.14652242067000087,0.18303362395051792,0.7547154654285984,1.02804733513962,-0.17804007431784252
6,a2c_ppo,1,0.36,1,0.14727416870000076,0.18398722374946064,0.6957061275266008,0.699588295379975,-0.2629935705964458
6,a2c_ppo,1,0.37,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.38,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.39,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.4,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.41,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.42,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.43,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.44,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.45,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.46,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.47,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.48,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.49,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.5,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.51,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.52,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.53,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.54,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.55,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.56,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.57,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.58,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.59,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.6,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.61,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.62,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.63,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.64,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.65,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.66,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.67,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.68,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.69,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.7,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.71,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.72,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.73,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.74,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.75,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.76,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.77,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.78,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
6,a2c_ppo,1,0.79,53,0.1451278109400007,0.18126492741071942,0.6877814140479034,0.6868856176951813,-0.2638939042266557
