period,pair,repeat,classifier_group,decision_days,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,selected_tau_days,fallback_days,fallback_day_rate,selected_blocks,mean_selected_tau,mean_threshold_quantile,tau_switches,aggressive_day_rate,counterfactual_hit_rate,ensemble_mode_hit_rate,branch_divergence_rate,mean_counterfactual_regret,stronger_single_model,stronger_single_cumulative_return,causal_single_cumulative_return,stronger_single_sharpe,causal_single_sharpe,stronger_single_calmar,causal_single_calmar,stronger_single_max_drawdown,causal_single_max_drawdown,causal_single_model_sequence,delta_sharpe_vs_stronger,delta_sharpe_vs_causal_single
2020,a2c_ppo,0,1,249,0.0381866127465251,0.0381866127465251,0.281673728152143,0.1209820144343906,-0.315638757752988,249,0,0.0,4,0.2224096385542169,0.3889357429718875,3,0.5381526104417671,0.5461847389558233,0.5461847389558233,1.0,0.0004343623156113,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.3060463312863121,0.0312932328361313
2020,a2c_ppo,0,2,249,0.0056327696695865,0.0056327696695865,0.189243503710567,0.0179956108417763,-0.3130079728391468,249,0,0.0,4,0.2449799196787148,0.5448795180722892,1,0.6024096385542169,0.5582329317269076,0.5582329317269076,1.0,0.0004699091394961,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.3984765557278881,-0.0611369916054445
2020,a2c_ppo,0,3,249,0.0258350110987362,0.0258350110987362,0.2503804953160116,0.081469413542423,-0.3171130118088221,0,249,1.0,0,,,0,0.0,0.751004016064257,,0.3815261044176707,0.0001999823355462,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.3373395641224435,0.0
2020,a2c_ppo,0,4,249,0.0502500818146671,0.0502500818146671,0.3135595099500026,0.1608259923174265,-0.3124500032027612,249,0,0.0,4,0.2275100401606426,0.4801004016064256,2,0.5381526104417671,0.570281124497992,0.570281124497992,1.0,0.0003996650122807,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.2741605494884525,0.063179014633991
2020,a2c_ppo,0,5,249,0.0537341057498705,0.0537341057498705,0.3238351451777544,0.1701963125995539,-0.3157183897179886,249,0,0.0,4,0.2325301204819277,0.4851204819277108,2,0.5381526104417671,0.6546184738955824,0.6546184738955824,0.714859437751004,0.0003016535073887,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.2638849142607006,0.0734546498617428
2020,a2c_ppo,1,1,249,0.0377526537606169,0.0377526537606169,0.2803673851568,0.119773503573922,-0.3152003793336205,249,0,0.0,4,0.2224096385542169,0.3914658634538152,3,0.5381526104417671,0.5421686746987951,0.5421686746987951,1.0,0.0004414838156112,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.307352674281655,0.0299868898407884
2020,a2c_ppo,1,2,249,0.0331467404166185,0.0331467404166185,0.2659348916752587,0.1060929294735172,-0.312431191985255,249,0,0.0,4,0.2275100401606426,0.4801004016064256,2,0.5381526104417671,0.5863453815261044,0.5863453815261044,1.0,0.0003868369664212,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.3217851677631963,0.0155543963592471
2020,a2c_ppo,1,3,249,0.0231637058811498,0.0231637058811498,0.2432938993763741,0.0730455863322142,-0.3171130118088221,125,124,0.4979919678714859,2,0.2599999999999999,0.5953200000000003,0,0.5020080321285141,0.8353413654618473,0.896,0.3975903614457831,0.0001384654597698,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.3444261600620809,-0.0070865959396374
2020,a2c_ppo,1,4,249,0.0312637663948827,0.0312637663948827,0.2598658695512291,0.1000600610478932,-0.3124500032027612,249,0,0.0,4,0.2199196787148594,0.3839558232931726,3,0.5381526104417671,0.5542168674698795,0.5542168674698795,1.0,0.0004451764795249,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.3278541898872259,0.0094853742352175
2020,a2c_ppo,1,5,249,0.0481869428188517,0.0481869428188517,0.3082099893042803,0.1526263416644627,-0.3157183897179886,249,0,0.0,4,0.2325301204819277,0.5001807228915663,2,0.5381526104417671,0.7188755020080321,0.7188755020080321,0.4176706827309236,0.0002302342477322,ppo,0.1324662967955678,0.0258350110987362,0.5877200594384551,0.2503804953160116,0.6488797107757548,0.081469413542423,-0.2041461531247456,-0.3171130118088221,a2c;ppo;a2c;a2c,-0.2795100701341748,0.0578294939882687
