repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown
14,a2c_ppo,1,0.01,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.02,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.03,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.04,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.05,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.06,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.07,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.08,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.09,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.1,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.11,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.12,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.13,13,0.3331853907900002,0.4191903996803077,1.4433429702380987,1.9718712541899004,-0.21258507561768925
14,a2c_ppo,1,0.14,1,0.3141678408800006,0.39458341210953374,1.365656576654014,1.7577354485062242,-0.22448395886017003
14,a2c_ppo,1,0.15,1,0.3215434597600002,0.40411766776216806,1.380735870114376,1.8365037560695952,-0.22004728627783643
14,a2c_ppo,1,0.16,1,0.32192701667000034,0.4046137980724269,1.3802590556056056,1.8418503578342114,-0.21967788878799188
14,a2c_ppo,1,0.17,1,0.33315318631000035,0.419148665156287,1.4140665745031096,1.9715488396022753,-0.21259867203738292
14,a2c_ppo,1,0.18,1,0.33020936445000015,0.4153346251142891,1.4033896104033603,1.9374895527824416,-0.21436741401667136
14,a2c_ppo,1,0.19,1,0.3361754167200004,0.4230661970692102,1.420673491347595,2.007743407125491,-0.2107172637537975
14,a2c_ppo,1,0.2,1,0.33855632852000017,0.42615378401857607,1.427589166656951,2.0358234479219557,-0.20932747604099355
14,a2c_ppo,1,0.21,1,0.35048162387000015,0.4416365457709037,1.4674220645682956,2.1878150207125784,-0.20186192232424716
14,a2c_ppo,1,0.22,1,0.43959671571000003,0.5582639781727967,1.758808772421843,2.835322523827317,-0.19689611092963522
14,a2c_ppo,1,0.23,1,0.5246375793700007,0.6710346314203417,2.12593027352618,3.3524373197579584,-0.20016321482448762
14,a2c_ppo,1,0.24,1,0.5770085399199998,0.7411710846088404,2.1940659352428153,3.708034778338505,-0.19988245227326162
14,a2c_ppo,1,0.25,1,0.57218472697,0.7346894652813221,2.1836900863414646,3.6566990494157454,-0.20091603256185608
14,a2c_ppo,1,0.26,1,0.5750861717299998,0.7385875362093401,2.202518768274571,3.774623510531454,-0.19567184227741685
14,a2c_ppo,1,0.27,1,0.5691220854800003,0.7305765239877671,2.187586962678939,3.729200498230256,-0.19590701125736532
14,a2c_ppo,1,0.28,1,0.5503415294400007,0.7053936338315523,2.1391632055711405,3.600655378815761,-0.19590701125736532
14,a2c_ppo,1,0.29,1,0.5386020576900006,0.6896857493444863,2.1087672442542793,3.5204750708918637,-0.19590701125736532
14,a2c_ppo,1,0.3,1,0.5435091604200004,0.696248492105876,2.1217989988548065,3.60116647612961,-0.19333971276278683
14,a2c_ppo,1,0.31,1,0.5475762687200005,0.7016912683297429,2.1327304648085126,3.68161857053561,-0.19059314670603134
14,a2c_ppo,1,0.32,1,0.5567248011700006,0.7139455787513813,2.154543456199434,3.745914221420368,-0.19059314670603134
14,a2c_ppo,1,0.33,1,0.5649216755900013,0.7249384669198575,2.1650664324577473,3.8385972179269072,-0.18885504932225516
14,a2c_ppo,1,0.34,1,0.5686880654800008,0.7299938026079349,2.169714987476956,3.824037665608721,-0.19089608064614405
14,a2c_ppo,1,0.35,1,0.5724669582800008,0.7350685724778616,2.1743584201118793,3.840633142829762,-0.19139255043148073
14,a2c_ppo,1,0.36,1,0.5704307711900005,0.7323337959870071,2.1648238287612878,3.807515008457747,-0.19233904380160083
14,a2c_ppo,1,0.37,1,0.5753619903100007,0.7389581778611662,2.177548802409811,3.832954185243412,-0.19279076715972765
14,a2c_ppo,1,0.38,1,0.5799685997100006,0.7451505674226013,2.1876210680929526,3.9142740235418465,-0.19036750185117313
14,a2c_ppo,1,0.39,1,0.5833644043600006,0.7497178589297009,2.197694136945434,3.9703504074640112,-0.18882914150858776
14,a2c_ppo,1,0.4,1,0.5888353998000004,0.7570807203841676,2.221394982905541,4.102797485594873,-0.18452792833239173
14,a2c_ppo,1,0.41,1,0.5746123734700004,0.73795088480891,2.191888510282878,3.803817187450747,-0.1940027210675369
14,a2c_ppo,1,0.42,1,0.3639089135999998,0.4591049625307977,1.6245320249649782,2.4987515472631174,-0.18373373816762828
