repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown
28,a2c_ppo,1,0.01,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.02,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.03,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.04,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.05,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.06,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.07,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.08,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.09,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.1,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.11,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.12,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.13,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.14,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.15,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.16,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.17,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.18,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.19,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.2,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.21,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.22,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.23,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.24,24,0.15100095704000127,0.18871680580171346,1.2342494751136892,2.6189485141105364,-0.07205823435815295
28,a2c_ppo,1,0.25,1,0.12888612681000144,0.16070309552110285,0.9039594163910757,1.5842457129540177,-0.10143823916143191
28,a2c_ppo,1,0.26,1,0.26216674619000147,0.33137253841936554,1.3544690590175512,3.165813273531447,-0.10467216787227673
28,a2c_ppo,1,0.27,1,0.35695148343000094,0.4553153679946278,1.6793906019958673,4.215632655981312,-0.10800641449358916
28,a2c_ppo,1,0.28,1,0.31156623584000154,0.3957119354262073,1.533861139315666,3.6561988520079423,-0.10823041947209378
28,a2c_ppo,1,0.29,1,0.26181883886000135,0.33092143159673837,1.3466474945511984,3.0222041500886525,-0.10949671668839156
28,a2c_ppo,1,0.3,1,0.2215705967700019,0.27892843400242007,1.1346157963264116,2.561589620506084,-0.10888880551729951
28,a2c_ppo,1,0.31,1,0.19666820492000148,0.24695465592267207,1.0066665703594446,1.9577052646615694,-0.12614496184917978
